"collected_at","source_type","source_query","source_url","page_url","final_url","domain","title","snippet","likely_rfp","organization_guess","due_date_guess","size_signal_guess","page_status_code","page_metadata","discovered_pdf_urls","html_path","markdown_path","metadata_path","links_path","pdf_records","rfp_status","due_date_valid","recency_score","error"
"2026-04-22T10:17:15.654597+00:00","seed_url","seed_url","https://www.callan.com/rfps/","https://www.callan.com/rfps/","https://www.callan.com/rfps/","www.callan.com","https://www.callan.com/rfps/","Configured source URL","True","RFPs - Callan","","","200","@{title=RFPs - Callan; description=Callan???s process for screening and evaluating investment managers for clients is distinctive. We include every relevant manager in our database for each search???and we start each search from scratch, screening every manager in the designated asset class against the client???s search criteria.; og:title=RFPs - Callan; og:site_name=Callan; extractor=fallback}","System.Object[]","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-callan-com-rfps-9c577c52c741.html","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-callan-com-rfps-9c577c52c741.md","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-callan-com-rfps-9c577c52c741.metadata.json","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-callan-com-rfps-9c577c52c741.links.json","System.Object[]","unknown","False","0.0",""
"2026-04-22T10:17:19.822035+00:00","seed_url","seed_url","https://www.calpers.ca.gov/search/site?keys=rfp","https://www.calpers.ca.gov/search/site?keys=rfp","https://www.calpers.ca.gov/search/site?keys=rfp","www.calpers.ca.gov","https://www.calpers.ca.gov/search/site?keys=rfp","Configured source URL","True","Search | CalPERS","","","200","@{title=Search | CalPERS; description=; og:title=; og:site_name=; extractor=fallback}","System.Object[]","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-calpers-ca-gov-search-site-keys-rfp-8db340e1b66e.html","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-calpers-ca-gov-search-site-keys-rfp-8db340e1b66e.md","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-calpers-ca-gov-search-site-keys-rfp-8db340e1b66e.metadata.json","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-calpers-ca-gov-search-site-keys-rfp-8db340e1b66e.links.json","System.Object[]","unknown","False","0.0",""
"2026-04-22T10:17:20.818616+00:00","seed_url","seed_url","https://www.lacera.com/who-we-are/business-opportunities","https://www.lacera.com/who-we-are/business-opportunities","https://www.lacera.gov/who-we-are/business-opportunities","www.lacera.com","https://www.lacera.com/who-we-are/business-opportunities","Configured source URL","True","Business Opportunities | LACERA","","","200","@{title=Business Opportunities | LACERA; description=LACERA conducts requests throughout the year for various business needs???investments, legal, online services, personnel, and more.; og:title=; og:site_name=; extractor=fallback}","System.Object[]","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-lacera-com-who-we-are-business-opportunities-445cca048494.html","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-lacera-com-who-we-are-business-opportunities-445cca048494.md","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-lacera-com-who-we-are-business-opportunities-445cca048494.metadata.json","C:\Users\rstuc\projects\farther\401k\data\raw\pages\www-lacera-com-who-we-are-business-opportunities-445cca048494.links.json","System.Object[]","unknown","False","0.0",""
